"ResNet18
 Special for CIFAR10",0.91
"ResNet18
4 epochs",0.7683
"ResNet18
Deep classifier
7 epochs",0.7815
"MobileNetV3 S
4 epochs",0.814
"MobileNetV3 S
Deep classifier
7 epochs",0.8406
"EfficientNetV2 S
4 epochs",0.74
"EfficientNetV2 S
Deep classifier
7 epochs",0.7643
"MNASNet 0.5
4 epochs",0.3254
"MNASNet 0.5
Deep classifier
7 epochs",0.3209
